./lab6
current sum of generated num up to now is 0, adding 6 to it.
current sum of generated num up to now is 745, adding 6 to it.
current sum of generated num up to now is 751, adding 4 to it.
current sum of generated num up to now is 755, adding 4 to it.
current sum of generated num up to now is 759, adding 1 to it.
current sum of generated num up to now is 760, adding 6 to it.
current sum of generated num up to now is 766, adding 1 to it.
current sum of generated num up to now is 767, adding 8 to it.
current sum of generated num up to now is 775, adding 9 to it.
current sum of generated num up to now is 784, adding 6 to it.
current sum of generated num up to now is 790, adding 9 to it.
current sum of generated num up to now is 799, adding 2 to it.
current sum of generated num up to now is 801, adding 6 to it.
current sum of generated num up to now is 807, adding 6 to it.
current sum of generated num up to now is 813, adding 4 to it.
current sum of generated num up to now is 817, adding 1 to it.
current sum of generated num up to now is 818, adding 3 to it.
current sum of generated num up to now is 821, adding 7 to it.
current sum of generated num up to now is 828, adding 9 to it.
current sum of generated num up to now is 837, adding 0 to it.
current sum of generated num up to now is 837, adding 2 to it.
current sum of generated num up to now is 839, adding 5 to it.
current sum of generated num up to now is 844, adding 5 to it.
current sum of generated num up to now is 849, adding 0 to it.
current sum of generated num up to now is 849, adding 2 to it.
current sum of generated num up to now is 851, adding 1 to it.
current sum of generated num up to now is 852, adding 0 to it.
current sum of generated num up to now is 852, adding 9 to it.
current sum of generated num up to now is 861, adding 2 to it.
current sum of generated num up to now is 863, adding 3 to it.
current sum of generated num up to now is 866, adding 6 to it.
current sum of generated num up to now is 872, adding 6 to it.
current sum of generated num up to now is 878, adding 9 to it.
current sum of generated num up to now is 887, adding 3 to it.
current sum of generated num up to now is 890, adding 0 to it.
current sum of generated num up to now is 890, adding 1 to it.
current sum of generated num up to now is 891, adding 1 to it.
current sum of generated num up to now is 892, adding 3 to it.
current sum of generated num up to now is 895, adding 9 to it.
current sum of generated num up to now is 904, adding 0 to it.
current sum of generated num up to now is 904, adding 9 to it.
current sum of generated num up to now is 913, adding 0 to it.
current sum of generated num up to now is 913, adding 2 to it.
current sum of generated num up to now is 915, adding 5 to it.
current sum of generated num up to now is 920, adding 6 to it.
current sum of generated num up to now is 926, adding 8 to it.
current sum of generated num up to now is 934, adding 7 to it.
current sum of generated num up to now is 941, adding 1 to it.
current sum of generated num up to now is 942, adding 7 to it.
current sum of generated num up to now is 949, adding 8 to it.
current sum of generated num up to now is 957, adding 2 to it.
current sum of generated num up to now is 959, adding 0 to it.
current sum of generated num up to now is 959, adding 3 to it.
current sum of generated num up to now is 962, adding 9 to it.
current sum of generated num up to now is 971, adding 2 to it.
current sum of generated num up to now is 973, adding 8 to it.
current sum of generated num up to now is 981, adding 3 to it.
current sum of generated num up to now is 984, adding 2 to it.
current sum of generated num up to now is 986, adding 9 to it.
current sum of generated num up to now is 995, adding 5 to it.
current sum of generated num up to now is 1000, adding 5 to it.
current sum of generated num up to now is 1005, adding 8 to it.
current sum of generated num up to now is 1013, adding 3 to it.
current sum of generated num up to now is 1016, adding 7 to it.
current sum of generated num up to now is 1023, adding 1 to it.
current sum of generated num up to now is 1024, adding 5 to it.
current sum of generated num up to now is 1029, adding 8 to it.
current sum of generated num up to now is 1037, adding 4 to it.
current sum of generated num up to now is 1041, adding 8 to it.
current sum of generated num up to now is 1049, adding 9 to it.
current sum of generated num up to now is 1058, adding 4 to it.
current sum of generated num up to now is 1062, adding 8 to it.
current sum of generated num up to now is 1070, adding 9 to it.
current sum of generated num up to now is 1079, adding 8 to it.
current sum of generated num up to now is 1087, adding 5 to it.
current sum of generated num up to now is 1092, adding 7 to it.
current sum of generated num up to now is 1099, adding 8 to it.
current sum of generated num up to now is 1107, adding 2 to it.
current sum of generated num up to now is 1109, adding 8 to it.
current sum of generated num up to now is 1117, adding 5 to it.
current sum of generated num up to now is 1122, adding 3 to it.
current sum of generated num up to now is 1125, adding 0 to it.
current sum of generated num up to now is 1125, adding 5 to it.
current sum of generated num up to now is 1130, adding 8 to it.
current sum of generated num up to now is 1138, adding 2 to it.
current sum of generated num up to now is 1140, adding 0 to it.
current sum of generated num up to now is 1140, adding 6 to it.
current sum of generated num up to now is 1146, adding 5 to it.
current sum of generated num up to now is 1151, adding 2 to it.
current sum of generated num up to now is 1153, adding 8 to it.
current sum of generated num up to now is 1161, adding 2 to it.
current sum of generated num up to now is 1163, adding 0 to it.
current sum of generated num up to now is 1163, adding 6 to it.
current sum of generated num up to now is 1169, adding 8 to it.
current sum of generated num up to now is 1177, adding 7 to it.
current sum of generated num up to now is 1184, adding 9 to it.
current sum of generated num up to now is 1193, adding 3 to it.
current sum of generated num up to now is 1196, adding 7 to it.
current sum of generated num up to now is 1203, adding 3 to it.
current sum of generated num up to now is 1206, adding 4 to it.
current sum of generated num up to now is 1210, adding 6 to it.
current sum of generated num up to now is 1216, adding 9 to it.
current sum of generated num up to now is 1225, adding 2 to it.
current sum of generated num up to now is 1227, adding 7 to it.
current sum of generated num up to now is 1234, adding 9 to it.
current sum of generated num up to now is 1243, adding 7 to it.
current sum of generated num up to now is 1250, adding 4 to it.
current sum of generated num up to now is 1254, adding 7 to it.
current sum of generated num up to now is 1261, adding 2 to it.
current sum of generated num up to now is 1263, adding 2 to it.
current sum of generated num up to now is 1265, adding 2 to it.
current sum of generated num up to now is 1267, adding 7 to it.
current sum of generated num up to now is 1274, adding 5 to it.
current sum of generated num up to now is 1279, adding 0 to it.
current sum of generated num up to now is 1279, adding 5 to it.
current sum of generated num up to now is 1284, adding 7 to it.
current sum of generated num up to now is 1291, adding 0 to it.
current sum of generated num up to now is 1291, adding 4 to it.
current sum of generated num up to now is 1295, adding 4 to it.
current sum of generated num up to now is 1299, adding 4 to it.
current sum of generated num up to now is 1303, adding 4 to it.
current sum of generated num up to now is 1307, adding 8 to it.
current sum of generated num up to now is 1315, adding 6 to it.
current sum of generated num up to now is 1321, adding 0 to it.
current sum of generated num up to now is 1321, adding 6 to it.
current sum of generated num up to now is 1327, adding 3 to it.
current sum of generated num up to now is 1330, adding 1 to it.
current sum of generated num up to now is 1331, adding 2 to it.
current sum of generated num up to now is 1333, adding 0 to it.
current sum of generated num up to now is 1333, adding 6 to it.
current sum of generated num up to now is 1339, adding 6 to it.
current sum of generated num up to now is 1345, adding 8 to it.
current sum of generated num up to now is 1353, adding 7 to it.
current sum of generated num up to now is 1360, adding 8 to it.
current sum of generated num up to now is 1368, adding 5 to it.
current sum of generated num up to now is 1373, adding 6 to it.
current sum of generated num up to now is 1379, adding 7 to it.
current sum of generated num up to now is 1386, adding 9 to it.
current sum of generated num up to now is 1395, adding 5 to it.
current sum of generated num up to now is 1400, adding 1 to it.
current sum of generated num up to now is 1401, adding 2 to it.
current sum of generated num up to now is 1403, adding 9 to it.
current sum of generated num up to now is 1412, adding 0 to it.
current sum of generated num up to now is 1412, adding 7 to it.
current sum of generated num up to now is 1419, adding 1 to it.
current sum of generated num up to now is 1420, adding 6 to it.
current sum of generated num up to now is 1426, adding 6 to it.
current sum of generated num up to now is 1432, adding 3 to it.
current sum of generated num up to now is 1435, adding 2 to it.
current sum of generated num up to now is 1437, adding 0 to it.
current sum of generated num up to now is 1437, adding 8 to it.
current sum of generated num up to now is 1445, adding 6 to it.
current sum of generated num up to now is 1451, adding 0 to it.
current sum of generated num up to now is 1451, adding 4 to it.
current sum of generated num up to now is 1455, adding 8 to it.
current sum of generated num up to now is 1463, adding 7 to it.
current sum of generated num up to now is 1470, adding 0 to it.
current sum of generated num up to now is 1470, adding 9 to it.
current sum of generated num up to now is 1479, adding 9 to it.
current sum of generated num up to now is 1488, adding 2 to it.
current sum of generated num up to now is 1490, adding 7 to it.
current sum of generated num up to now is 1497, adding 5 to it.
current sum of generated num up to now is 1502, adding 1 to it.
current sum of generated num up to now is 1503, adding 4 to it.
current sum of generated num up to now is 1507, adding 5 to it.
current sum of generated num up to now is 1512, adding 6 to it.
current sum of generated num up to now is 1518, adding 2 to it.
current sum of generated num up to now is 1520, adding 4 to it.
current sum of generated num up to now is 1524, adding 6 to it.
current sum of generated num up to now is 1530, adding 9 to it.
current sum of generated num up to now is 1539, adding 8 to it.
current sum of generated num up to now is 1547, adding 8 to it.
current sum of generated num up to now is 1555, adding 8 to it.
current sum of generated num up to now is 1563, adding 8 to it.
current sum of generated num up to now is 1571, adding 7 to it.
current sum of generated num up to now is 1578, adding 0 to it.
current sum of generated num up to now is 1578, adding 6 to it.
current sum of generated num up to now is 1584, adding 3 to it.
current sum of generated num up to now is 1587, adding 3 to it.
current sum of generated num up to now is 1590, adding 8 to it.
current sum of generated num up to now is 1598, adding 5 to it.
current sum of generated num up to now is 1603, adding 3 to it.
current sum of generated num up to now is 1606, adding 6 to it.
current sum of generated num up to now is 1612, adding 5 to it.
current sum of generated num up to now is 1617, adding 0 to it.
current sum of generated num up to now is 1617, adding 4 to it.
current sum of generated num up to now is 1621, adding 4 to it.
current sum of generated num up to now is 1625, adding 0 to it.
current sum of generated num up to now is 1625, adding 5 to it.
current sum of generated num up to now is 1630, adding 3 to it.
current sum of generated num up to now is 1633, adding 2 to it.
current sum of generated num up to now is 1635, adding 2 to it.
current sum of generated num up to now is 1637, adding 0 to it.
current sum of generated num up to now is 1637, adding 3 to it.
current sum of generated num up to now is 1640, adding 8 to it.
current sum of generated num up to now is 1648, adding 7 to it.
current sum of generated num up to now is 1655, adding 2 to it.
current sum of generated num up to now is 1657, adding 0 to it.
current sum of generated num up to now is 1657, adding 4 to it.
current sum of generated num up to now is 1661, adding 8 to it.
current sum of generated num up to now is 1669, adding 9 to it.
current sum of generated num up to now is 1678, adding 2 to it.
current sum of generated num up to now is 1680, adding 8 to it.
current sum of generated num up to now is 1688, adding 0 to it.
current sum of generated num up to now is 1688, adding 0 to it.
current sum of generated num up to now is 1688, adding 5 to it.
current sum of generated num up to now is 1693, adding 2 to it.
current sum of generated num up to now is 1695, adding 7 to it.
current sum of generated num up to now is 1702, adding 0 to it.
current sum of generated num up to now is 1702, adding 5 to it.
current sum of generated num up to now is 1707, adding 7 to it.
current sum of generated num up to now is 1714, adding 5 to it.
current sum of generated num up to now is 1719, adding 1 to it.
current sum of generated num up to now is 1720, adding 4 to it.
current sum of generated num up to now is 1724, adding 2 to it.
current sum of generated num up to now is 1726, adding 1 to it.
current sum of generated num up to now is 1727, adding 8 to it.
current sum of generated num up to now is 1735, adding 7 to it.
current sum of generated num up to now is 1742, adding 3 to it.
current sum of generated num up to now is 1745, adding 6 to it.
current sum of generated num up to now is 1751, adding 0 to it.
current sum of generated num up to now is 1751, adding 7 to it.
current sum of generated num up to now is 1758, adding 0 to it.
current sum of generated num up to now is 1758, adding 3 to it.
current sum of generated num up to now is 1761, adding 3 to it.
current sum of generated num up to now is 1764, adding 9 to it.
current sum of generated num up to now is 1773, adding 0 to it.
current sum of generated num up to now is 1773, adding 5 to it.
current sum of generated num up to now is 1778, adding 1 to it.
current sum of generated num up to now is 1779, adding 4 to it.
current sum of generated num up to now is 1783, adding 3 to it.
current sum of generated num up to now is 1786, adding 3 to it.
current sum of generated num up to now is 1789, adding 8 to it.
current sum of generated num up to now is 1797, adding 1 to it.
current sum of generated num up to now is 1798, adding 3 to it.
current sum of generated num up to now is 1801, adding 9 to it.
current sum of generated num up to now is 1810, adding 6 to it.
current sum of generated num up to now is 1816, adding 5 to it.
current sum of generated num up to now is 1821, adding 8 to it.
current sum of generated num up to now is 1829, adding 6 to it.
current sum of generated num up to now is 1835, adding 2 to it.
current sum of generated num up to now is 1837, adding 7 to it.
current sum of generated num up to now is 1844, adding 3 to it.
current sum of generated num up to now is 1847, adding 3 to it.
current sum of generated num up to now is 1850, adding 3 to it.
current sum of generated num up to now is 1853, adding 5 to it.
current sum of generated num up to now is 1858, adding 6 to it.
current sum of generated num up to now is 1864, adding 4 to it.
current sum of generated num up to now is 1868, adding 2 to it.
current sum of generated num up to now is 1870, adding 9 to it.
current sum of generated num up to now is 1879, adding 0 to it.
current sum of generated num up to now is 1879, adding 5 to it.
current sum of generated num up to now is 1884, adding 9 to it.
current sum of generated num up to now is 1893, adding 0 to it.
current sum of generated num up to now is 1893, adding 8 to it.
current sum of generated num up to now is 1901, adding 2 to it.
current sum of generated num up to now is 1903, adding 1 to it.
current sum of generated num up to now is 1904, adding 0 to it.
current sum of generated num up to now is 1904, adding 7 to it.
current sum of generated num up to now is 1911, adding 3 to it.
current sum of generated num up to now is 1914, adding 7 to it.
current sum of generated num up to now is 1921, adding 0 to it.
current sum of generated num up to now is 1921, adding 6 to it.
current sum of generated num up to now is 1927, adding 5 to it.
current sum of generated num up to now is 1932, adding 3 to it.
current sum of generated num up to now is 1935, adding 1 to it.
current sum of generated num up to now is 1936, adding 6 to it.
current sum of generated num up to now is 1942, adding 1 to it.
current sum of generated num up to now is 1943, adding 6 to it.
current sum of generated num up to now is 1949, adding 6 to it.
current sum of generated num up to now is 1955, adding 9 to it.
current sum of generated num up to now is 1964, adding 0 to it.
current sum of generated num up to now is 1964, adding 6 to it.
current sum of generated num up to now is 1970, adding 2 to it.
current sum of generated num up to now is 1972, adding 4 to it.
current sum of generated num up to now is 1976, adding 9 to it.
current sum of generated num up to now is 1985, adding 9 to it.
current sum of generated num up to now is 1994, adding 2 to it.
current sum of generated num up to now is 1996, adding 3 to it.
current sum of generated num up to now is 1999, adding 2 to it.
current sum of generated num up to now is 2001, adding 4 to it.
current sum of generated num up to now is 2005, adding 3 to it.
current sum of generated num up to now is 2008, adding 9 to it.
current sum of generated num up to now is 2017, adding 3 to it.
current sum of generated num up to now is 2020, adding 6 to it.
current sum of generated num up to now is 2026, adding 9 to it.
current sum of generated num up to now is 2035, adding 5 to it.
current sum of generated num up to now is 2040, adding 7 to it.
current sum of generated num up to now is 2047, adding 1 to it.
current sum of generated num up to now is 2048, adding 2 to it.
current sum of generated num up to now is 2050, adding 0 to it.
current sum of generated num up to now is 2050, adding 8 to it.
current sum of generated num up to now is 2058, adding 4 to it.
current sum of generated num up to now is 2062, adding 8 to it.
current sum of generated num up to now is 2070, adding 6 to it.
current sum of generated num up to now is 2076, adding 7 to it.
current sum of generated num up to now is 2083, adding 9 to it.
current sum of generated num up to now is 2092, adding 2 to it.
current sum of generated num up to now is 2094, adding 8 to it.
current sum of generated num up to now is 2102, adding 5 to it.
current sum of generated num up to now is 2107, adding 1 to it.
current sum of generated num up to now is 2108, adding 7 to it.
current sum of generated num up to now is 2115, adding 6 to it.
current sum of generated num up to now is 2121, adding 7 to it.
current sum of generated num up to now is 2128, adding 1 to it.
current sum of generated num up to now is 2129, adding 2 to it.
current sum of generated num up to now is 2131, adding 6 to it.
current sum of generated num up to now is 2137, adding 0 to it.
current sum of generated num up to now is 2137, adding 4 to it.
current sum of generated num up to now is 2141, adding 0 to it.
current sum of generated num up to now is 2141, adding 4 to it.
current sum of generated num up to now is 2145, adding 8 to it.
current sum of generated num up to now is 2153, adding 5 to it.
current sum of generated num up to now is 2158, adding 3 to it.
current sum of generated num up to now is 2161, adding 3 to it.
current sum of generated num up to now is 2164, adding 1 to it.
current sum of generated num up to now is 2165, adding 4 to it.
current sum of generated num up to now is 2169, adding 8 to it.
current sum of generated num up to now is 2177, adding 9 to it.
current sum of generated num up to now is 2186, adding 6 to it.
current sum of generated num up to now is 2192, adding 2 to it.
current sum of generated num up to now is 2194, adding 1 to it.
current sum of generated num up to now is 2195, adding 6 to it.
current sum of generated num up to now is 2201, adding 6 to it.
current sum of generated num up to now is 2207, adding 0 to it.
current sum of generated num up to now is 2207, adding 2 to it.
current sum of generated num up to now is 2209, adding 3 to it.
current sum of generated num up to now is 2212, adding 9 to it.
current sum of generated num up to now is 2221, adding 7 to it.
current sum of generated num up to now is 2228, adding 3 to it.
current sum of generated num up to now is 2231, adding 7 to it.
current sum of generated num up to now is 2238, adding 0 to it.
current sum of generated num up to now is 2238, adding 2 to it.
current sum of generated num up to now is 2240, adding 3 to it.
current sum of generated num up to now is 2243, adding 7 to it.
current sum of generated num up to now is 2250, adding 3 to it.
current sum of generated num up to now is 2253, adding 7 to it.
current sum of generated num up to now is 2260, adding 5 to it.
current sum of generated num up to now is 2265, adding 4 to it.
current sum of generated num up to now is 2269, adding 3 to it.
current sum of generated num up to now is 2272, adding 7 to it.
current sum of generated num up to now is 2279, adding 0 to it.
current sum of generated num up to now is 2279, adding 4 to it.
current sum of generated num up to now is 2283, adding 3 to it.
current sum of generated num up to now is 2286, adding 6 to it.
current sum of generated num up to now is 2292, adding 7 to it.
current sum of generated num up to now is 2299, adding 6 to it.
current sum of generated num up to now is 2305, adding 0 to it.
current sum of generated num up to now is 2305, adding 8 to it.
current sum of generated num up to now is 2313, adding 7 to it.
current sum of generated num up to now is 2320, adding 6 to it.
current sum of generated num up to now is 2326, adding 0 to it.
current sum of generated num up to now is 2326, adding 9 to it.
current sum of generated num up to now is 2335, adding 5 to it.
current sum of generated num up to now is 2340, adding 7 to it.
current sum of generated num up to now is 2347, adding 9 to it.
current sum of generated num up to now is 2356, adding 7 to it.
current sum of generated num up to now is 2363, adding 2 to it.
current sum of generated num up to now is 2365, adding 0 to it.
current sum of generated num up to now is 2365, adding 6 to it.
current sum of generated num up to now is 2371, adding 6 to it.
current sum of generated num up to now is 2377, adding 7 to it.
current sum of generated num up to now is 2384, adding 6 to it.
current sum of generated num up to now is 2390, adding 8 to it.
current sum of generated num up to now is 2398, adding 2 to it.
current sum of generated num up to now is 2400, adding 5 to it.
current sum of generated num up to now is 2405, adding 4 to it.
current sum of generated num up to now is 2409, adding 9 to it.
current sum of generated num up to now is 2418, adding 1 to it.
current sum of generated num up to now is 2419, adding 0 to it.
current sum of generated num up to now is 2419, adding 3 to it.
current sum of generated num up to now is 2422, adding 0 to it.
current sum of generated num up to now is 2422, adding 0 to it.
current sum of generated num up to now is 2422, adding 9 to it.
current sum of generated num up to now is 2431, adding 5 to it.
current sum of generated num up to now is 2436, adding 6 to it.
current sum of generated num up to now is 2442, adding 6 to it.
current sum of generated num up to now is 2448, adding 2 to it.
current sum of generated num up to now is 2450, adding 7 to it.
current sum of generated num up to now is 2457, adding 4 to it.
current sum of generated num up to now is 2461, adding 9 to it.
current sum of generated num up to now is 2470, adding 5 to it.
current sum of generated num up to now is 2475, adding 7 to it.
current sum of generated num up to now is 2482, adding 8 to it.
current sum of generated num up to now is 2490, adding 0 to it.
current sum of generated num up to now is 2490, adding 4 to it.
current sum of generated num up to now is 2494, adding 9 to it.
current sum of generated num up to now is 2503, adding 0 to it.
current sum of generated num up to now is 2503, adding 8 to it.
current sum of generated num up to now is 2511, adding 0 to it.
current sum of generated num up to now is 2511, adding 6 to it.
current sum of generated num up to now is 2517, adding 6 to it.
current sum of generated num up to now is 2523, adding 9 to it.
current sum of generated num up to now is 2532, adding 5 to it.
current sum of generated num up to now is 2537, adding 5 to it.
current sum of generated num up to now is 2542, adding 2 to it.
current sum of generated num up to now is 2544, adding 0 to it.
current sum of generated num up to now is 2544, adding 1 to it.
current sum of generated num up to now is 2545, adding 3 to it.
current sum of generated num up to now is 2548, adding 3 to it.
current sum of generated num up to now is 2551, adding 1 to it.
current sum of generated num up to now is 2552, adding 8 to it.
current sum of generated num up to now is 2560, adding 4 to it.
current sum of generated num up to now is 2564, adding 1 to it.
current sum of generated num up to now is 2565, adding 7 to it.
current sum of generated num up to now is 2572, adding 9 to it.
current sum of generated num up to now is 2581, adding 0 to it.
current sum of generated num up to now is 2581, adding 4 to it.
current sum of generated num up to now is 2585, adding 1 to it.
current sum of generated num up to now is 2586, adding 7 to it.
current sum of generated num up to now is 2593, adding 0 to it.
current sum of generated num up to now is 2593, adding 3 to it.
current sum of generated num up to now is 2596, adding 4 to it.
current sum of generated num up to now is 2600, adding 7 to it.
current sum of generated num up to now is 2607, adding 3 to it.
current sum of generated num up to now is 2610, adding 7 to it.
current sum of generated num up to now is 2617, adding 3 to it.
current sum of generated num up to now is 2620, adding 3 to it.
current sum of generated num up to now is 2623, adding 7 to it.
current sum of generated num up to now is 2630, adding 2 to it.
current sum of generated num up to now is 2632, adding 5 to it.
current sum of generated num up to now is 2637, adding 5 to it.
current sum of generated num up to now is 2642, adding 8 to it.
current sum of generated num up to now is 2650, adding 4 to it.
current sum of generated num up to now is 2654, adding 0 to it.
current sum of generated num up to now is 2654, adding 5 to it.
current sum of generated num up to now is 2659, adding 8 to it.
current sum of generated num up to now is 2667, adding 3 to it.
current sum of generated num up to now is 2670, adding 6 to it.
current sum of generated num up to now is 2676, adding 2 to it.
current sum of generated num up to now is 2678, adding 6 to it.
current sum of generated num up to now is 2684, adding 7 to it.
current sum of generated num up to now is 2691, adding 0 to it.
current sum of generated num up to now is 2691, adding 0 to it.
current sum of generated num up to now is 2691, adding 1 to it.
current sum of generated num up to now is 2692, adding 8 to it.
