./lab6
current sum of generated num up to now is 0, adding 1 to it.
current sum of generated num up to now is 585, adding 3 to it.
current sum of generated num up to now is 588, adding 2 to it.
current sum of generated num up to now is 590, adding 3 to it.
current sum of generated num up to now is 593, adding 6 to it.
current sum of generated num up to now is 599, adding 7 to it.
current sum of generated num up to now is 606, adding 2 to it.
current sum of generated num up to now is 608, adding 1 to it.
current sum of generated num up to now is 609, adding 4 to it.
current sum of generated num up to now is 613, adding 7 to it.
current sum of generated num up to now is 620, adding 2 to it.
current sum of generated num up to now is 622, adding 0 to it.
current sum of generated num up to now is 622, adding 2 to it.
current sum of generated num up to now is 624, adding 8 to it.
current sum of generated num up to now is 632, adding 7 to it.
current sum of generated num up to now is 639, adding 9 to it.
current sum of generated num up to now is 648, adding 6 to it.
current sum of generated num up to now is 654, adding 1 to it.
current sum of generated num up to now is 655, adding 9 to it.
current sum of generated num up to now is 664, adding 1 to it.
current sum of generated num up to now is 665, adding 4 to it.
current sum of generated num up to now is 669, adding 0 to it.
current sum of generated num up to now is 669, adding 1 to it.
current sum of generated num up to now is 670, adding 2 to it.
current sum of generated num up to now is 672, adding 7 to it.
current sum of generated num up to now is 679, adding 1 to it.
current sum of generated num up to now is 680, adding 3 to it.
current sum of generated num up to now is 683, adding 4 to it.
current sum of generated num up to now is 687, adding 8 to it.
current sum of generated num up to now is 695, adding 1 to it.
current sum of generated num up to now is 696, adding 0 to it.
current sum of generated num up to now is 696, adding 5 to it.
current sum of generated num up to now is 701, adding 4 to it.
current sum of generated num up to now is 705, adding 4 to it.
current sum of generated num up to now is 709, adding 8 to it.
current sum of generated num up to now is 717, adding 3 to it.
current sum of generated num up to now is 720, adding 2 to it.
current sum of generated num up to now is 722, adding 3 to it.
current sum of generated num up to now is 725, adding 4 to it.
current sum of generated num up to now is 729, adding 8 to it.
current sum of generated num up to now is 737, adding 2 to it.
current sum of generated num up to now is 739, adding 6 to it.
current sum of generated num up to now is 745, adding 9 to it.
current sum of generated num up to now is 754, adding 4 to it.
current sum of generated num up to now is 758, adding 4 to it.
current sum of generated num up to now is 762, adding 8 to it.
current sum of generated num up to now is 770, adding 4 to it.
current sum of generated num up to now is 774, adding 2 to it.
current sum of generated num up to now is 776, adding 0 to it.
current sum of generated num up to now is 776, adding 5 to it.
current sum of generated num up to now is 781, adding 4 to it.
current sum of generated num up to now is 785, adding 6 to it.
current sum of generated num up to now is 791, adding 7 to it.
current sum of generated num up to now is 798, adding 5 to it.
current sum of generated num up to now is 803, adding 8 to it.
current sum of generated num up to now is 811, adding 4 to it.
current sum of generated num up to now is 815, adding 9 to it.
current sum of generated num up to now is 824, adding 1 to it.
current sum of generated num up to now is 825, adding 9 to it.
current sum of generated num up to now is 834, adding 7 to it.
current sum of generated num up to now is 841, adding 3 to it.
current sum of generated num up to now is 844, adding 9 to it.
current sum of generated num up to now is 853, adding 2 to it.
current sum of generated num up to now is 855, adding 9 to it.
current sum of generated num up to now is 864, adding 6 to it.
current sum of generated num up to now is 870, adding 2 to it.
current sum of generated num up to now is 872, adding 2 to it.
current sum of generated num up to now is 874, adding 8 to it.
current sum of generated num up to now is 882, adding 7 to it.
current sum of generated num up to now is 889, adding 6 to it.
current sum of generated num up to now is 895, adding 6 to it.
current sum of generated num up to now is 901, adding 9 to it.
current sum of generated num up to now is 910, adding 5 to it.
current sum of generated num up to now is 915, adding 7 to it.
current sum of generated num up to now is 922, adding 6 to it.
current sum of generated num up to now is 928, adding 9 to it.
current sum of generated num up to now is 937, adding 8 to it.
current sum of generated num up to now is 945, adding 2 to it.
current sum of generated num up to now is 947, adding 4 to it.
current sum of generated num up to now is 951, adding 8 to it.
current sum of generated num up to now is 959, adding 7 to it.
current sum of generated num up to now is 966, adding 8 to it.
current sum of generated num up to now is 974, adding 4 to it.
current sum of generated num up to now is 978, adding 5 to it.
current sum of generated num up to now is 983, adding 5 to it.
current sum of generated num up to now is 988, adding 3 to it.
current sum of generated num up to now is 991, adding 1 to it.
current sum of generated num up to now is 992, adding 4 to it.
current sum of generated num up to now is 996, adding 6 to it.
current sum of generated num up to now is 1002, adding 0 to it.
current sum of generated num up to now is 1002, adding 3 to it.
current sum of generated num up to now is 1005, adding 9 to it.
current sum of generated num up to now is 1014, adding 2 to it.
current sum of generated num up to now is 1016, adding 7 to it.
current sum of generated num up to now is 1023, adding 1 to it.
current sum of generated num up to now is 1024, adding 8 to it.
current sum of generated num up to now is 1032, adding 2 to it.
current sum of generated num up to now is 1034, adding 3 to it.
current sum of generated num up to now is 1037, adding 8 to it.
current sum of generated num up to now is 1045, adding 9 to it.
current sum of generated num up to now is 1054, adding 2 to it.
current sum of generated num up to now is 1056, adding 6 to it.
current sum of generated num up to now is 1062, adding 1 to it.
current sum of generated num up to now is 1063, adding 7 to it.
current sum of generated num up to now is 1070, adding 4 to it.
current sum of generated num up to now is 1074, adding 7 to it.
current sum of generated num up to now is 1081, adding 8 to it.
current sum of generated num up to now is 1089, adding 4 to it.
current sum of generated num up to now is 1093, adding 1 to it.
current sum of generated num up to now is 1094, adding 2 to it.
current sum of generated num up to now is 1096, adding 2 to it.
current sum of generated num up to now is 1098, adding 8 to it.
current sum of generated num up to now is 1106, adding 0 to it.
current sum of generated num up to now is 1106, adding 8 to it.
current sum of generated num up to now is 1114, adding 5 to it.
current sum of generated num up to now is 1119, adding 6 to it.
current sum of generated num up to now is 1125, adding 1 to it.
current sum of generated num up to now is 1126, adding 7 to it.
current sum of generated num up to now is 1133, adding 2 to it.
current sum of generated num up to now is 1135, adding 0 to it.
current sum of generated num up to now is 1135, adding 9 to it.
current sum of generated num up to now is 1144, adding 6 to it.
current sum of generated num up to now is 1150, adding 1 to it.
current sum of generated num up to now is 1151, adding 1 to it.
current sum of generated num up to now is 1152, adding 5 to it.
current sum of generated num up to now is 1157, adding 2 to it.
current sum of generated num up to now is 1159, adding 1 to it.
current sum of generated num up to now is 1160, adding 7 to it.
current sum of generated num up to now is 1167, adding 8 to it.
current sum of generated num up to now is 1175, adding 9 to it.
current sum of generated num up to now is 1184, adding 7 to it.
current sum of generated num up to now is 1191, adding 0 to it.
current sum of generated num up to now is 1191, adding 6 to it.
current sum of generated num up to now is 1197, adding 0 to it.
current sum of generated num up to now is 1197, adding 7 to it.
current sum of generated num up to now is 1204, adding 2 to it.
current sum of generated num up to now is 1206, adding 7 to it.
current sum of generated num up to now is 1213, adding 7 to it.
current sum of generated num up to now is 1220, adding 6 to it.
current sum of generated num up to now is 1226, adding 8 to it.
current sum of generated num up to now is 1234, adding 0 to it.
current sum of generated num up to now is 1234, adding 8 to it.
current sum of generated num up to now is 1242, adding 8 to it.
current sum of generated num up to now is 1250, adding 0 to it.
current sum of generated num up to now is 1250, adding 8 to it.
current sum of generated num up to now is 1258, adding 6 to it.
current sum of generated num up to now is 1264, adding 8 to it.
current sum of generated num up to now is 1272, adding 0 to it.
current sum of generated num up to now is 1272, adding 5 to it.
current sum of generated num up to now is 1277, adding 1 to it.
current sum of generated num up to now is 1278, adding 2 to it.
current sum of generated num up to now is 1280, adding 4 to it.
current sum of generated num up to now is 1284, adding 9 to it.
current sum of generated num up to now is 1293, adding 3 to it.
current sum of generated num up to now is 1296, adding 8 to it.
current sum of generated num up to now is 1304, adding 6 to it.
current sum of generated num up to now is 1310, adding 6 to it.
current sum of generated num up to now is 1316, adding 1 to it.
current sum of generated num up to now is 1317, adding 4 to it.
current sum of generated num up to now is 1321, adding 4 to it.
current sum of generated num up to now is 1325, adding 1 to it.
current sum of generated num up to now is 1326, adding 3 to it.
current sum of generated num up to now is 1329, adding 6 to it.
current sum of generated num up to now is 1335, adding 7 to it.
current sum of generated num up to now is 1342, adding 3 to it.
current sum of generated num up to now is 1345, adding 3 to it.
current sum of generated num up to now is 1348, adding 1 to it.
current sum of generated num up to now is 1349, adding 2 to it.
current sum of generated num up to now is 1351, adding 0 to it.
current sum of generated num up to now is 1351, adding 7 to it.
current sum of generated num up to now is 1358, adding 2 to it.
current sum of generated num up to now is 1360, adding 2 to it.
current sum of generated num up to now is 1362, adding 7 to it.
current sum of generated num up to now is 1369, adding 2 to it.
current sum of generated num up to now is 1371, adding 5 to it.
current sum of generated num up to now is 1376, adding 5 to it.
current sum of generated num up to now is 1381, adding 0 to it.
current sum of generated num up to now is 1381, adding 3 to it.
current sum of generated num up to now is 1384, adding 7 to it.
current sum of generated num up to now is 1391, adding 5 to it.
current sum of generated num up to now is 1396, adding 6 to it.
current sum of generated num up to now is 1402, adding 9 to it.
current sum of generated num up to now is 1411, adding 2 to it.
current sum of generated num up to now is 1413, adding 7 to it.
current sum of generated num up to now is 1420, adding 3 to it.
current sum of generated num up to now is 1423, adding 2 to it.
current sum of generated num up to now is 1425, adding 4 to it.
current sum of generated num up to now is 1429, adding 1 to it.
current sum of generated num up to now is 1430, adding 3 to it.
current sum of generated num up to now is 1433, adding 0 to it.
current sum of generated num up to now is 1433, adding 7 to it.
current sum of generated num up to now is 1440, adding 4 to it.
current sum of generated num up to now is 1444, adding 3 to it.
current sum of generated num up to now is 1447, adding 3 to it.
current sum of generated num up to now is 1450, adding 3 to it.
current sum of generated num up to now is 1453, adding 8 to it.
current sum of generated num up to now is 1461, adding 8 to it.
current sum of generated num up to now is 1469, adding 4 to it.
current sum of generated num up to now is 1473, adding 0 to it.
current sum of generated num up to now is 1473, adding 8 to it.
current sum of generated num up to now is 1481, adding 3 to it.
current sum of generated num up to now is 1484, adding 4 to it.
current sum of generated num up to now is 1488, adding 3 to it.
current sum of generated num up to now is 1491, adding 0 to it.
current sum of generated num up to now is 1491, adding 6 to it.
current sum of generated num up to now is 1497, adding 8 to it.
current sum of generated num up to now is 1505, adding 8 to it.
current sum of generated num up to now is 1513, adding 7 to it.
current sum of generated num up to now is 1520, adding 3 to it.
current sum of generated num up to now is 1523, adding 5 to it.
current sum of generated num up to now is 1528, adding 4 to it.
current sum of generated num up to now is 1532, adding 0 to it.
current sum of generated num up to now is 1532, adding 7 to it.
current sum of generated num up to now is 1539, adding 6 to it.
current sum of generated num up to now is 1545, adding 7 to it.
current sum of generated num up to now is 1552, adding 0 to it.
current sum of generated num up to now is 1552, adding 0 to it.
current sum of generated num up to now is 1552, adding 3 to it.
current sum of generated num up to now is 1555, adding 3 to it.
current sum of generated num up to now is 1558, adding 4 to it.
current sum of generated num up to now is 1562, adding 3 to it.
current sum of generated num up to now is 1565, adding 0 to it.
current sum of generated num up to now is 1565, adding 0 to it.
current sum of generated num up to now is 1565, adding 8 to it.
current sum of generated num up to now is 1573, adding 5 to it.
current sum of generated num up to now is 1578, adding 6 to it.
current sum of generated num up to now is 1584, adding 8 to it.
current sum of generated num up to now is 1592, adding 3 to it.
current sum of generated num up to now is 1595, adding 0 to it.
current sum of generated num up to now is 1595, adding 8 to it.
current sum of generated num up to now is 1603, adding 3 to it.
current sum of generated num up to now is 1606, adding 6 to it.
current sum of generated num up to now is 1612, adding 4 to it.
current sum of generated num up to now is 1616, adding 6 to it.
current sum of generated num up to now is 1622, adding 6 to it.
current sum of generated num up to now is 1628, adding 1 to it.
current sum of generated num up to now is 1629, adding 4 to it.
current sum of generated num up to now is 1633, adding 6 to it.
current sum of generated num up to now is 1639, adding 8 to it.
current sum of generated num up to now is 1647, adding 8 to it.
current sum of generated num up to now is 1655, adding 2 to it.
current sum of generated num up to now is 1657, adding 4 to it.
current sum of generated num up to now is 1661, adding 0 to it.
current sum of generated num up to now is 1661, adding 9 to it.
current sum of generated num up to now is 1670, adding 1 to it.
current sum of generated num up to now is 1671, adding 9 to it.
current sum of generated num up to now is 1680, adding 1 to it.
current sum of generated num up to now is 1681, adding 1 to it.
current sum of generated num up to now is 1682, adding 3 to it.
current sum of generated num up to now is 1685, adding 6 to it.
current sum of generated num up to now is 1691, adding 7 to it.
current sum of generated num up to now is 1698, adding 8 to it.
current sum of generated num up to now is 1706, adding 8 to it.
current sum of generated num up to now is 1714, adding 8 to it.
current sum of generated num up to now is 1722, adding 9 to it.
current sum of generated num up to now is 1731, adding 3 to it.
current sum of generated num up to now is 1734, adding 6 to it.
current sum of generated num up to now is 1740, adding 7 to it.
current sum of generated num up to now is 1747, adding 6 to it.
current sum of generated num up to now is 1753, adding 6 to it.
current sum of generated num up to now is 1759, adding 6 to it.
current sum of generated num up to now is 1765, adding 9 to it.
current sum of generated num up to now is 1774, adding 4 to it.
current sum of generated num up to now is 1778, adding 0 to it.
current sum of generated num up to now is 1778, adding 8 to it.
current sum of generated num up to now is 1786, adding 3 to it.
current sum of generated num up to now is 1789, adding 3 to it.
current sum of generated num up to now is 1792, adding 4 to it.
current sum of generated num up to now is 1796, adding 9 to it.
current sum of generated num up to now is 1805, adding 3 to it.
current sum of generated num up to now is 1808, adding 4 to it.
current sum of generated num up to now is 1812, adding 1 to it.
current sum of generated num up to now is 1813, adding 8 to it.
current sum of generated num up to now is 1821, adding 4 to it.
current sum of generated num up to now is 1825, adding 2 to it.
current sum of generated num up to now is 1827, adding 1 to it.
current sum of generated num up to now is 1828, adding 4 to it.
current sum of generated num up to now is 1832, adding 5 to it.
current sum of generated num up to now is 1837, adding 4 to it.
current sum of generated num up to now is 1841, adding 9 to it.
current sum of generated num up to now is 1850, adding 1 to it.
current sum of generated num up to now is 1851, adding 2 to it.
current sum of generated num up to now is 1853, adding 9 to it.
current sum of generated num up to now is 1862, adding 9 to it.
current sum of generated num up to now is 1871, adding 2 to it.
current sum of generated num up to now is 1873, adding 8 to it.
current sum of generated num up to now is 1881, adding 2 to it.
current sum of generated num up to now is 1883, adding 8 to it.
current sum of generated num up to now is 1891, adding 6 to it.
current sum of generated num up to now is 1897, adding 0 to it.
current sum of generated num up to now is 1897, adding 6 to it.
current sum of generated num up to now is 1903, adding 4 to it.
current sum of generated num up to now is 1907, adding 2 to it.
current sum of generated num up to now is 1909, adding 1 to it.
current sum of generated num up to now is 1910, adding 6 to it.
current sum of generated num up to now is 1916, adding 0 to it.
current sum of generated num up to now is 1916, adding 6 to it.
current sum of generated num up to now is 1922, adding 0 to it.
current sum of generated num up to now is 1922, adding 6 to it.
current sum of generated num up to now is 1928, adding 5 to it.
current sum of generated num up to now is 1933, adding 5 to it.
current sum of generated num up to now is 1938, adding 1 to it.
current sum of generated num up to now is 1939, adding 9 to it.
current sum of generated num up to now is 1948, adding 3 to it.
current sum of generated num up to now is 1951, adding 5 to it.
current sum of generated num up to now is 1956, adding 1 to it.
current sum of generated num up to now is 1957, adding 4 to it.
current sum of generated num up to now is 1961, adding 1 to it.
current sum of generated num up to now is 1962, adding 7 to it.
current sum of generated num up to now is 1969, adding 9 to it.
current sum of generated num up to now is 1978, adding 2 to it.
current sum of generated num up to now is 1980, adding 0 to it.
current sum of generated num up to now is 1980, adding 3 to it.
current sum of generated num up to now is 1983, adding 2 to it.
current sum of generated num up to now is 1985, adding 2 to it.
current sum of generated num up to now is 1987, adding 7 to it.
current sum of generated num up to now is 1994, adding 2 to it.
current sum of generated num up to now is 1996, adding 6 to it.
current sum of generated num up to now is 2002, adding 5 to it.
current sum of generated num up to now is 2007, adding 8 to it.
current sum of generated num up to now is 2015, adding 7 to it.
current sum of generated num up to now is 2022, adding 3 to it.
current sum of generated num up to now is 2025, adding 2 to it.
current sum of generated num up to now is 2027, adding 1 to it.
current sum of generated num up to now is 2028, adding 6 to it.
current sum of generated num up to now is 2034, adding 1 to it.
current sum of generated num up to now is 2035, adding 3 to it.
current sum of generated num up to now is 2038, adding 2 to it.
current sum of generated num up to now is 2040, adding 3 to it.
current sum of generated num up to now is 2043, adding 9 to it.
current sum of generated num up to now is 2052, adding 8 to it.
current sum of generated num up to now is 2060, adding 8 to it.
current sum of generated num up to now is 2068, adding 0 to it.
current sum of generated num up to now is 2068, adding 7 to it.
current sum of generated num up to now is 2075, adding 2 to it.
current sum of generated num up to now is 2077, adding 8 to it.
current sum of generated num up to now is 2085, adding 0 to it.
current sum of generated num up to now is 2085, adding 8 to it.
current sum of generated num up to now is 2093, adding 9 to it.
current sum of generated num up to now is 2102, adding 9 to it.
current sum of generated num up to now is 2111, adding 9 to it.
current sum of generated num up to now is 2120, adding 4 to it.
current sum of generated num up to now is 2124, adding 2 to it.
current sum of generated num up to now is 2126, adding 2 to it.
current sum of generated num up to now is 2128, adding 8 to it.
current sum of generated num up to now is 2136, adding 4 to it.
current sum of generated num up to now is 2140, adding 9 to it.
current sum of generated num up to now is 2149, adding 0 to it.
current sum of generated num up to now is 2149, adding 0 to it.
current sum of generated num up to now is 2149, adding 6 to it.
current sum of generated num up to now is 2155, adding 9 to it.
current sum of generated num up to now is 2164, adding 9 to it.
current sum of generated num up to now is 2173, adding 0 to it.
current sum of generated num up to now is 2173, adding 3 to it.
current sum of generated num up to now is 2176, adding 0 to it.
current sum of generated num up to now is 2176, adding 8 to it.
current sum of generated num up to now is 2184, adding 6 to it.
current sum of generated num up to now is 2190, adding 3 to it.
current sum of generated num up to now is 2193, adding 1 to it.
current sum of generated num up to now is 2194, adding 9 to it.
current sum of generated num up to now is 2203, adding 5 to it.
current sum of generated num up to now is 2208, adding 1 to it.
current sum of generated num up to now is 2209, adding 8 to it.
current sum of generated num up to now is 2217, adding 5 to it.
current sum of generated num up to now is 2222, adding 0 to it.
current sum of generated num up to now is 2222, adding 2 to it.
current sum of generated num up to now is 2224, adding 3 to it.
current sum of generated num up to now is 2227, adding 0 to it.
current sum of generated num up to now is 2227, adding 0 to it.
current sum of generated num up to now is 2227, adding 5 to it.
current sum of generated num up to now is 2232, adding 2 to it.
current sum of generated num up to now is 2234, adding 0 to it.
current sum of generated num up to now is 2234, adding 1 to it.
current sum of generated num up to now is 2235, adding 4 to it.
current sum of generated num up to now is 2239, adding 4 to it.
current sum of generated num up to now is 2243, adding 9 to it.
current sum of generated num up to now is 2252, adding 0 to it.
current sum of generated num up to now is 2252, adding 4 to it.
current sum of generated num up to now is 2256, adding 9 to it.
current sum of generated num up to now is 2265, adding 0 to it.
current sum of generated num up to now is 2265, adding 2 to it.
current sum of generated num up to now is 2267, adding 0 to it.
current sum of generated num up to now is 2267, adding 2 to it.
current sum of generated num up to now is 2269, adding 2 to it.
current sum of generated num up to now is 2271, adding 6 to it.
current sum of generated num up to now is 2277, adding 2 to it.
current sum of generated num up to now is 2279, adding 3 to it.
current sum of generated num up to now is 2282, adding 2 to it.
current sum of generated num up to now is 2284, adding 8 to it.
current sum of generated num up to now is 2292, adding 4 to it.
current sum of generated num up to now is 2296, adding 2 to it.
current sum of generated num up to now is 2298, adding 3 to it.
current sum of generated num up to now is 2301, adding 7 to it.
current sum of generated num up to now is 2308, adding 2 to it.
current sum of generated num up to now is 2310, adding 0 to it.
current sum of generated num up to now is 2310, adding 7 to it.
current sum of generated num up to now is 2317, adding 4 to it.
current sum of generated num up to now is 2321, adding 4 to it.
current sum of generated num up to now is 2325, adding 9 to it.
current sum of generated num up to now is 2334, adding 4 to it.
current sum of generated num up to now is 2338, adding 1 to it.
current sum of generated num up to now is 2339, adding 3 to it.
current sum of generated num up to now is 2342, adding 6 to it.
current sum of generated num up to now is 2348, adding 2 to it.
current sum of generated num up to now is 2350, adding 9 to it.
current sum of generated num up to now is 2359, adding 1 to it.
current sum of generated num up to now is 2360, adding 1 to it.
current sum of generated num up to now is 2361, adding 9 to it.
current sum of generated num up to now is 2370, adding 7 to it.
current sum of generated num up to now is 2377, adding 2 to it.
current sum of generated num up to now is 2379, adding 0 to it.
current sum of generated num up to now is 2379, adding 9 to it.
current sum of generated num up to now is 2388, adding 5 to it.
current sum of generated num up to now is 2393, adding 2 to it.
current sum of generated num up to now is 2395, adding 4 to it.
current sum of generated num up to now is 2399, adding 1 to it.
current sum of generated num up to now is 2400, adding 6 to it.
current sum of generated num up to now is 2406, adding 7 to it.
current sum of generated num up to now is 2413, adding 5 to it.
current sum of generated num up to now is 2418, adding 6 to it.
current sum of generated num up to now is 2424, adding 3 to it.
current sum of generated num up to now is 2427, adding 9 to it.
current sum of generated num up to now is 2436, adding 1 to it.
current sum of generated num up to now is 2437, adding 0 to it.
current sum of generated num up to now is 2437, adding 3 to it.
current sum of generated num up to now is 2440, adding 2 to it.
current sum of generated num up to now is 2442, adding 9 to it.
current sum of generated num up to now is 2451, adding 7 to it.
current sum of generated num up to now is 2458, adding 8 to it.
current sum of generated num up to now is 2466, adding 0 to it.
current sum of generated num up to now is 2466, adding 4 to it.
current sum of generated num up to now is 2470, adding 9 to it.
current sum of generated num up to now is 2479, adding 4 to it.
current sum of generated num up to now is 2483, adding 0 to it.
current sum of generated num up to now is 2483, adding 3 to it.
current sum of generated num up to now is 2486, adding 3 to it.
current sum of generated num up to now is 2489, adding 3 to it.
current sum of generated num up to now is 2492, adding 6 to it.
current sum of generated num up to now is 2498, adding 3 to it.
current sum of generated num up to now is 2501, adding 0 to it.
current sum of generated num up to now is 2501, adding 8 to it.
current sum of generated num up to now is 2509, adding 5 to it.
current sum of generated num up to now is 2514, adding 0 to it.
current sum of generated num up to now is 2514, adding 5 to it.
current sum of generated num up to now is 2519, adding 9 to it.
current sum of generated num up to now is 2528, adding 4 to it.
current sum of generated num up to now is 2532, adding 6 to it.
current sum of generated num up to now is 2538, adding 7 to it.
current sum of generated num up to now is 2545, adding 3 to it.
current sum of generated num up to now is 2548, adding 4 to it.
current sum of generated num up to now is 2552, adding 4 to it.
current sum of generated num up to now is 2556, adding 6 to it.
current sum of generated num up to now is 2562, adding 5 to it.
current sum of generated num up to now is 2567, adding 5 to it.
current sum of generated num up to now is 2572, adding 8 to it.
current sum of generated num up to now is 2580, adding 9 to it.
current sum of generated num up to now is 2589, adding 7 to it.
current sum of generated num up to now is 2596, adding 9 to it.
current sum of generated num up to now is 2605, adding 6 to it.
current sum of generated num up to now is 2611, adding 5 to it.
current sum of generated num up to now is 2616, adding 9 to it.
current sum of generated num up to now is 2625, adding 2 to it.
current sum of generated num up to now is 2627, adding 6 to it.
